epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,508.82,2.57059,0.74203,0.93673,0.92498,0.00333177,0.00333177,0.00333177
2,993.284,1.05152,0.78919,0.94701,0.79575,0.00659912,0.00659912,0.00659912
3,1479.58,1.07832,0.75697,0.94117,0.91958,0.00980047,0.00980047,0.00980047
4,1968.89,1.19975,0.78476,0.95051,0.80233,0.009703,0.009703,0.009703
5,2428.31,1.03831,0.8046,0.95798,0.72125,0.009604,0.009604,0.009604
6,2890.37,0.92363,0.81849,0.96358,0.6968,0.009505,0.009505,0.009505
7,3346.02,0.84808,0.8367,0.9693,0.62163,0.009406,0.009406,0.009406
8,3795.29,0.77861,0.85292,0.97444,0.54876,0.009307,0.009307,0.009307
9,4242.3,0.72204,0.85818,0.97432,0.54553,0.009208,0.009208,0.009208
10,4686.02,0.67237,0.8688,0.97806,0.49679,0.009109,0.009109,0.009109
11,5125.24,0.62975,0.87008,0.97759,0.49235,0.00901,0.00901,0.00901
12,5578.93,0.58655,0.87977,0.98191,0.4555,0.008911,0.008911,0.008911
13,6019.01,0.55951,0.88619,0.98424,0.44409,0.008812,0.008812,0.008812
14,6457.53,0.51956,0.88888,0.98413,0.43272,0.008713,0.008713,0.008713
15,6908.83,0.50677,0.89319,0.98553,0.41333,0.008614,0.008614,0.008614
16,7351.01,0.47712,0.89693,0.98541,0.40782,0.008515,0.008515,0.008515
17,7796.63,0.45255,0.89775,0.98564,0.408,0.008416,0.008416,0.008416
18,8240.07,0.42768,0.9023,0.98634,0.40538,0.008317,0.008317,0.008317
19,8685.79,0.41709,0.90417,0.98693,0.38994,0.008218,0.008218,0.008218
20,9129.08,0.39996,0.90475,0.98681,0.39203,0.008119,0.008119,0.008119
21,9574,0.38438,0.90884,0.98704,0.38233,0.00802,0.00802,0.00802
22,10017.7,0.36505,0.91094,0.98693,0.3873,0.007921,0.007921,0.007921
23,10466.6,0.36792,0.90837,0.98728,0.38175,0.007822,0.007822,0.007822
24,10914.7,0.34248,0.90755,0.98728,0.3832,0.007723,0.007723,0.007723
25,11366.5,0.3283,0.90977,0.98774,0.38031,0.007624,0.007624,0.007624
26,11811.9,0.31998,0.91035,0.98763,0.38064,0.007525,0.007525,0.007525
27,12257.4,0.31763,0.91047,0.98763,0.38178,0.007426,0.007426,0.007426
28,12702.2,0.2988,0.9107,0.98739,0.38225,0.007327,0.007327,0.007327
29,13147.6,0.2953,0.9107,0.98763,0.37983,0.007228,0.007228,0.007228
30,13591.6,0.28721,0.91105,0.98798,0.37988,0.007129,0.007129,0.007129
31,14041,0.28783,0.91047,0.98833,0.38092,0.00703,0.00703,0.00703
32,14489.6,0.26927,0.91082,0.98786,0.38186,0.006931,0.006931,0.006931
33,14936,0.26487,0.91117,0.98821,0.3817,0.006832,0.006832,0.006832
34,15386.2,0.25547,0.91152,0.98879,0.38226,0.006733,0.006733,0.006733
35,15833.7,0.25062,0.91199,0.98856,0.38282,0.006634,0.006634,0.006634
36,16280.3,0.23885,0.91234,0.98856,0.38289,0.006535,0.006535,0.006535
37,16728,0.23528,0.91199,0.98856,0.38299,0.006436,0.006436,0.006436
38,17175.1,0.23665,0.91199,0.98879,0.38292,0.006337,0.006337,0.006337
39,17620.7,0.22911,0.9114,0.98856,0.38285,0.006238,0.006238,0.006238
40,18065.8,0.21615,0.91129,0.98868,0.38357,0.006139,0.006139,0.006139
41,18508.8,0.21704,0.91327,0.98879,0.38301,0.00604,0.00604,0.00604
42,18954.1,0.20334,0.91316,0.98891,0.38346,0.005941,0.005941,0.005941
43,19399.7,0.20745,0.91292,0.98868,0.3843,0.005842,0.005842,0.005842
44,19844.8,0.19582,0.9128,0.98833,0.38427,0.005743,0.005743,0.005743
45,20289.4,0.19695,0.91234,0.98798,0.38522,0.005644,0.005644,0.005644
46,20736.9,0.1857,0.91245,0.98809,0.38537,0.005545,0.005545,0.005545
47,21184.5,0.18212,0.9121,0.98821,0.38443,0.005446,0.005446,0.005446
