epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,507.05,0.05528,0.91468,0.98776,0.3824,0.00333177,0.00333177,0.00333177
2,989.206,0.05728,0.90943,0.9859,0.40443,0.00659912,0.00659912,0.00659912
3,1472.83,0.11829,0.85977,0.97331,0.60623,0.00980047,0.00980047,0.00980047
4,1959.39,0.34959,0.85488,0.97051,0.59859,0.009703,0.009703,0.009703
5,2440.84,0.37571,0.85476,0.97086,0.59225,0.009604,0.009604,0.009604
6,2929.81,0.36583,0.86339,0.97249,0.55252,0.009505,0.009505,0.009505
7,3416.87,0.35539,0.87481,0.97902,0.51424,0.009406,0.009406,0.009406
8,3914.95,0.34286,0.86828,0.97587,0.52168,0.009307,0.009307,0.009307
9,4405.22,0.33532,0.88623,0.98007,0.47582,0.009208,0.009208,0.009208
10,4894.41,0.32765,0.88507,0.97575,0.49053,0.009109,0.009109,0.009109
11,5380.9,0.31342,0.88752,0.97914,0.48497,0.00901,0.00901,0.00901
12,5865.75,0.30347,0.89113,0.98077,0.45473,0.008911,0.008911,0.008911
13,6360.35,0.29646,0.89369,0.9838,0.44395,0.008812,0.008812,0.008812
14,6843.62,0.28318,0.89999,0.98298,0.42144,0.008713,0.008713,0.008713
15,7337.02,0.26484,0.89952,0.98298,0.42945,0.008614,0.008614,0.008614
16,7832.58,0.26814,0.89836,0.9845,0.42519,0.008515,0.008515,0.008515
17,8332.05,0.26597,0.89987,0.98496,0.42592,0.008416,0.008416,0.008416
18,8840.68,0.26356,0.9043,0.98356,0.43606,0.008317,0.008317,0.008317
19,9346.34,0.25603,0.90174,0.98508,0.41635,0.008218,0.008218,0.008218
20,9845.63,0.24366,0.90349,0.98496,0.43978,0.008119,0.008119,0.008119
21,10341.9,0.24361,0.9029,0.98438,0.41336,0.00802,0.00802,0.00802
22,10837.9,0.24478,0.90698,0.98368,0.41317,0.007921,0.007921,0.007921
23,11338.6,0.23121,0.90756,0.98461,0.4205,0.007822,0.007822,0.007822
24,11832.3,0.22925,0.90675,0.98473,0.41587,0.007723,0.007723,0.007723
25,12331.6,0.23293,0.9078,0.98496,0.40866,0.007624,0.007624,0.007624
26,12825.3,0.23009,0.90885,0.9852,0.41215,0.007525,0.007525,0.007525
27,13319.3,0.22671,0.91095,0.98543,0.40725,0.007426,0.007426,0.007426
28,13814.7,0.23235,0.91106,0.98485,0.4061,0.007327,0.007327,0.007327
29,14311.8,0.22036,0.91013,0.98566,0.40818,0.007228,0.007228,0.007228
30,14810.1,0.20902,0.91071,0.98508,0.40797,0.007129,0.007129,0.007129
31,15308.1,0.21446,0.91095,0.98555,0.40492,0.00703,0.00703,0.00703
32,15803.5,0.2124,0.90978,0.98543,0.40485,0.006931,0.006931,0.006931
33,16307.9,0.19684,0.91036,0.98578,0.40287,0.006832,0.006832,0.006832
34,16812,0.204,0.91118,0.98578,0.40264,0.006733,0.006733,0.006733
35,17324.8,0.20551,0.91095,0.98555,0.40311,0.006634,0.006634,0.006634
36,17840.4,0.19039,0.91176,0.98566,0.40284,0.006535,0.006535,0.006535
37,18355.5,0.1792,0.91223,0.98555,0.40243,0.006436,0.006436,0.006436
38,18870.4,0.18704,0.91246,0.9859,0.41218,0.006337,0.006337,0.006337
39,19385.9,0.17764,0.91258,0.98555,0.40343,0.006238,0.006238,0.006238
40,19903.9,0.17467,0.91223,0.9859,0.40758,0.006139,0.006139,0.006139
41,20426.4,0.17637,0.91293,0.98566,0.40363,0.00604,0.00604,0.00604
