epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.304,0.97395,2.14542,1.36088,0.32352,0.59438,0.42396,0.27358,1.05519,2.17256,1.4501,0.000195413,0.000195413,0.000195413
2,213.495,1.06852,1.99257,1.39045,0.35956,0.44891,0.3535,0.21615,1.34559,1.90982,1.76027,0.000387538,0.000387538,0.000387538
3,324.452,1.07134,1.97635,1.38061,0.40491,0.38421,0.32953,0.20885,1.28584,2.13414,1.67353,0.000575782,0.000575782,0.000575782
4,426.758,1.04311,1.88827,1.3596,0.47097,0.50789,0.47708,0.32958,1.14706,1.77733,1.58668,0.000570536,0.000570536,0.000570536
5,531.632,0.99874,1.788,1.33327,0.42026,0.57047,0.52253,0.37396,1.02059,1.53538,1.39107,0.000564715,0.000564715,0.000564715
6,619.504,0.96171,1.7199,1.31251,0.504,0.63485,0.60962,0.448,0.92165,1.30333,1.31493,0.000558894,0.000558894,0.000558894
7,708.363,0.93987,1.64933,1.29458,0.59594,0.57649,0.61011,0.45255,0.87916,1.31896,1.27591,0.000553073,0.000553073,0.000553073
8,785.158,0.91866,1.6005,1.28489,0.59054,0.61372,0.64499,0.48599,0.85931,1.26451,1.23963,0.000547252,0.000547252,0.000547252
9,849.495,0.89107,1.54814,1.26372,0.64891,0.60839,0.68034,0.51349,0.85636,1.13054,1.25842,0.00054143,0.00054143,0.00054143
10,914.032,0.8826,1.51893,1.26288,0.63024,0.66697,0.69577,0.53963,0.82492,1.11746,1.22879,0.000535609,0.000535609,0.000535609
11,977.598,0.85243,1.47286,1.24491,0.68439,0.67449,0.73527,0.55763,0.83291,1.00197,1.23457,0.000529788,0.000529788,0.000529788
12,1037.14,0.83375,1.4175,1.23424,0.73791,0.68499,0.75739,0.57513,0.8371,0.95368,1.22173,0.000523967,0.000523967,0.000523967
13,1101.31,0.83032,1.38171,1.22798,0.69033,0.72531,0.77541,0.59185,0.80377,0.97539,1.19543,0.000518146,0.000518146,0.000518146
14,1165.56,0.82941,1.36189,1.22803,0.72171,0.68623,0.76856,0.59041,0.83207,0.96754,1.20994,0.000512324,0.000512324,0.000512324
15,1224.78,0.81166,1.33209,1.21988,0.67561,0.67432,0.7533,0.57696,0.81139,1.02716,1.19151,0.000506503,0.000506503,0.000506503
16,1283.64,0.8131,1.30578,1.2179,0.73916,0.7382,0.81274,0.64024,0.76656,0.85679,1.16012,0.000500682,0.000500682,0.000500682
17,1352.85,0.80548,1.28393,1.21144,0.80286,0.73392,0.82649,0.64838,0.76233,0.80614,1.15296,0.000494861,0.000494861,0.000494861
18,1412.03,0.80561,1.28191,1.21441,0.82693,0.73429,0.84404,0.67325,0.7306,0.77459,1.13184,0.00048904,0.00048904,0.00048904
19,1471.52,0.79155,1.23952,1.20469,0.8264,0.73519,0.84283,0.67474,0.73662,0.7601,1.14859,0.000483218,0.000483218,0.000483218
20,1535.64,0.78131,1.22089,1.20165,0.77527,0.74038,0.8269,0.66588,0.71819,0.81699,1.11832,0.000477397,0.000477397,0.000477397
21,1594.21,0.77417,1.20344,1.19558,0.79136,0.7958,0.85809,0.6959,0.69162,0.72289,1.09888,0.000471576,0.000471576,0.000471576
22,1658,0.76008,1.157,1.18823,0.81028,0.78053,0.85108,0.68964,0.70734,0.74046,1.11531,0.000465755,0.000465755,0.000465755
23,1721.55,0.75566,1.16401,1.18739,0.8017,0.78311,0.85315,0.68982,0.69776,0.74474,1.09757,0.000459934,0.000459934,0.000459934
24,1780.65,0.75634,1.15144,1.18472,0.82161,0.78719,0.86753,0.7042,0.68459,0.73311,1.08739,0.000454112,0.000454112,0.000454112
25,1841.87,0.75379,1.13411,1.17949,0.82428,0.80667,0.8765,0.71627,0.67977,0.68634,1.08243,0.000448291,0.000448291,0.000448291
26,1903.89,0.74787,1.10147,1.18011,0.84364,0.81052,0.88277,0.71557,0.69704,0.66179,1.10848,0.00044247,0.00044247,0.00044247
27,1963.01,0.75039,1.12265,1.18633,0.78337,0.81114,0.87525,0.71192,0.68522,0.70013,1.08786,0.000436649,0.000436649,0.000436649
28,2025.51,0.73806,1.06795,1.17321,0.82748,0.77997,0.87047,0.71647,0.67538,0.7107,1.0797,0.000430828,0.000430828,0.000430828
29,2091.4,0.72399,1.06039,1.16548,0.87332,0.79274,0.88491,0.72889,0.65519,0.63395,1.06521,0.000425006,0.000425006,0.000425006
30,2154.84,0.73983,1.07322,1.17661,0.83043,0.84564,0.88987,0.73715,0.6481,0.62278,1.05601,0.000419185,0.000419185,0.000419185
31,2218.33,0.72634,1.04676,1.16694,0.87415,0.80029,0.90427,0.75226,0.6312,0.59811,1.04603,0.000413364,0.000413364,0.000413364
32,2277.56,0.71784,1.01655,1.15865,0.85446,0.84357,0.90434,0.74535,0.65697,0.61091,1.06512,0.000407543,0.000407543,0.000407543
33,2346.29,0.70847,1.02869,1.15774,0.82493,0.82749,0.89426,0.73972,0.64717,0.63995,1.0494,0.000401722,0.000401722,0.000401722
34,2410.15,0.70657,1.0039,1.15437,0.87688,0.83313,0.91003,0.75179,0.64723,0.57914,1.04979,0.0003959,0.0003959,0.0003959
35,2469.62,0.69525,0.9871,1.14898,0.86024,0.82764,0.90792,0.76098,0.6294,0.60901,1.04063,0.000390079,0.000390079,0.000390079
36,2533.02,0.6942,0.98308,1.14987,0.8751,0.83046,0.90369,0.75668,0.63034,0.59719,1.0351,0.000384258,0.000384258,0.000384258
37,2602.61,0.68973,0.97343,1.14794,0.85771,0.81709,0.89967,0.75496,0.63642,0.62495,1.0488,0.000378437,0.000378437,0.000378437
38,2662.19,0.69799,0.97804,1.1522,0.85422,0.83944,0.90865,0.75775,0.62725,0.57981,1.03662,0.000372616,0.000372616,0.000372616
39,2721.5,0.68989,0.94985,1.14972,0.84869,0.86998,0.92319,0.77718,0.62823,0.53719,1.04052,0.000366794,0.000366794,0.000366794
40,2785.54,0.69353,0.93321,1.1473,0.86076,0.87958,0.92397,0.77583,0.62352,0.53976,1.03477,0.000360973,0.000360973,0.000360973
41,2844.9,0.67721,0.92709,1.1364,0.84855,0.87627,0.91967,0.77654,0.61624,0.55195,1.03055,0.000355152,0.000355152,0.000355152
42,2905.56,0.67255,0.91501,1.13604,0.88285,0.85823,0.92416,0.77586,0.61211,0.53914,1.02384,0.000349331,0.000349331,0.000349331
