epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,456.801,0.04666,0.91666,0.98949,0.38953,0.00333177,0.00333177,0.00333177
2,898.873,0.05156,0.91117,0.98809,0.40887,0.00654061,0.00654061,0.00654061
3,1341.73,0.13107,0.86506,0.97595,0.56108,0.00962491,0.00962491,0.00962491
4,1783.28,0.39618,0.85141,0.97292,0.59758,0.00943962,0.00943962,0.00943962
5,2221.67,0.40634,0.86296,0.97467,0.57453,0.00925283,0.00925283,0.00925283
6,2662.47,0.39871,0.86903,0.97339,0.56458,0.00906604,0.00906604,0.00906604
7,3106.57,0.37152,0.87055,0.97841,0.51603,0.00887925,0.00887925,0.00887925
8,3555.29,0.34845,0.88257,0.98051,0.50019,0.00869245,0.00869245,0.00869245
9,4002.74,0.33651,0.88176,0.98144,0.49247,0.00850566,0.00850566,0.00850566
10,4442.66,0.31793,0.88899,0.98004,0.48236,0.00831887,0.00831887,0.00831887
11,4885,0.30264,0.88689,0.98062,0.48401,0.00813208,0.00813208,0.00813208
12,5330.08,0.28783,0.89226,0.98389,0.45338,0.00794528,0.00794528,0.00794528
13,5771.25,0.28022,0.8981,0.98506,0.43317,0.00775849,0.00775849,0.00775849
14,6213.17,0.26047,0.8988,0.98424,0.4304,0.0075717,0.0075717,0.0075717
15,6652.7,0.24719,0.90265,0.98366,0.41826,0.00738491,0.00738491,0.00738491
16,7096.78,0.24428,0.90382,0.98459,0.41689,0.00719811,0.00719811,0.00719811
17,7538.36,0.23019,0.90265,0.98646,0.41185,0.00701132,0.00701132,0.00701132
18,7980.56,0.2117,0.9044,0.98646,0.41465,0.00682453,0.00682453,0.00682453
19,8423.18,0.2031,0.90825,0.98646,0.40634,0.00663774,0.00663774,0.00663774
20,8869.98,0.19828,0.90767,0.98728,0.40816,0.00645094,0.00645094,0.00645094
21,9313.54,0.1848,0.91164,0.98809,0.39875,0.00626415,0.00626415,0.00626415
22,9755.36,0.18385,0.91351,0.98728,0.39189,0.00607736,0.00607736,0.00607736
23,10199.1,0.17539,0.91526,0.98716,0.39253,0.00589057,0.00589057,0.00589057
24,10643.9,0.16014,0.91491,0.98728,0.39307,0.00570377,0.00570377,0.00570377
25,11084.6,0.14999,0.91596,0.98763,0.38815,0.00551698,0.00551698,0.00551698
26,11527,0.1446,0.91677,0.98693,0.38647,0.00533019,0.00533019,0.00533019
27,11966.7,0.14051,0.91677,0.98751,0.38729,0.0051434,0.0051434,0.0051434
28,12406,0.13283,0.91631,0.98728,0.38816,0.0049566,0.0049566,0.0049566
29,12850.6,0.12105,0.91514,0.98798,0.38597,0.00476981,0.00476981,0.00476981
30,13291.1,0.11835,0.91502,0.98809,0.38647,0.00458302,0.00458302,0.00458302
31,13732.4,0.10638,0.91549,0.98903,0.3866,0.00439623,0.00439623,0.00439623
32,14170.5,0.10505,0.91549,0.98891,0.38843,0.00420943,0.00420943,0.00420943
33,14612.1,0.09384,0.91654,0.98833,0.38771,0.00402264,0.00402264,0.00402264
34,15057.1,0.08771,0.91642,0.98821,0.38818,0.00383585,0.00383585,0.00383585
35,15495.8,0.08325,0.91736,0.98821,0.38813,0.00364906,0.00364906,0.00364906
36,15935.3,0.07975,0.91642,0.98844,0.38827,0.00346226,0.00346226,0.00346226
37,16385.4,0.07547,0.91619,0.98821,0.38805,0.00327547,0.00327547,0.00327547
38,16827.4,0.0697,0.91596,0.98833,0.38857,0.00308868,0.00308868,0.00308868
39,17266.3,0.06206,0.91677,0.98809,0.38862,0.00290189,0.00290189,0.00290189
40,17708.4,0.05508,0.91654,0.98821,0.38892,0.00271509,0.00271509,0.00271509
41,18154.7,0.05388,0.91654,0.98833,0.38754,0.0025283,0.0025283,0.0025283
42,18595.8,0.04534,0.91759,0.98833,0.38658,0.00234151,0.00234151,0.00234151
43,19039.8,0.04385,0.91747,0.98833,0.38565,0.00215472,0.00215472,0.00215472
44,19492.9,0.03863,0.91829,0.98833,0.38474,0.00196792,0.00196792,0.00196792
45,19939.2,0.03553,0.91829,0.98821,0.38454,0.00178113,0.00178113,0.00178113
46,20382.4,0.03535,0.91829,0.98844,0.38424,0.00159434,0.00159434,0.00159434
47,20829.4,0.03164,0.91794,0.98844,0.38317,0.00140755,0.00140755,0.00140755
48,21277.4,0.02852,0.91759,0.98821,0.38248,0.00122075,0.00122075,0.00122075
